Ranking Position,Name,Author,Link,Price
#1,LA FELICIDAD,"ROLON, GABRIEL",https://cuspide.com/producto/la-felicidad-2/,1690000.0
#2,DESTROZA ESTE DIARIO ( A TODO COLOR ),"SMITH, KERI",https://cuspide.com/producto/destroza-este-diario-a-todo-color/,2020000.0
#3,ZENSORIALMENTE,"BACHRACH, ESTANISLAO",https://cuspide.com/producto/zensorialmente/,1549900.0
#4,HEARTSTOPPER 5,"OSEMAN, ALICE",https://cuspide.com/producto/heartstopper-5/,1159900.0
#5,LA CASA NEVILLE . LA FORMIDABLE SEÑORITA  MANON,"BONELLI, FLORENCIA",https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,1970000.0
#6,EL VIENTO CONOCE MI NOMBRE,"ALLENDE, ISABEL",https://cuspide.com/producto/el-viento-conoce-mi-nombre/,1399900.0
#7,EL PROBLEMA FINAL,"PEREZ-REVERTE, ARTURO",https://cuspide.com/producto/el-problema-final/,1399900.0
#8,EL PSICOANALISTA EN LA MIRA,"KATZENBACH, JOHN",https://cuspide.com/producto/el-psicoanalista-en-la-mira/,1599900.0
#9,ESTE DOLOR NO ES MIO,"WOLYNN, MARK",https://cuspide.com/producto/este-dolor-no-es-mio/,1730000.0
#10,HOROSCOPO CHINO 2024,"SQUIRRU DARI, LUDOVICA",https://cuspide.com/producto/horoscopo-chino-2024/,799900.0
#11,COMO SALIR DEL POZO,"OPPENHEIMER, ANDRES",https://cuspide.com/producto/como-salir-del-pozo/,999900.0
#12,FORTUNA,"DIAZ, HERNAN",https://cuspide.com/producto/fortuna/,1380000.0
#13,EL PODER DE LAS PALABRAS,"SIGMAN, MARIANO",https://cuspide.com/producto/el-poder-de-las-palabras/,1389900.0
#14,OXIDO,"LANATA, JORGE",https://cuspide.com/producto/oxido/,1499900.0
#15,HABITOS ATOMICOS,"CLEAR, JAMES",https://cuspide.com/producto/habitos-atomicos-2/,1270000.0
#16,DESARMA ESTE LIBRO,,https://cuspide.com/producto/desarma-este-libro/,484900.0
#17,ALAS DE SANGRE,"YARROS, REBECCA",https://cuspide.com/producto/alas-de-sangre/,2120000.0
#18,ARTIFICIAL,"SIGMAN, MARIANO; BILINKIS, SAN...",https://cuspide.com/producto/artificial-2/,999900.0
#19,LOS OJOS PLATA  FIVE NIGHTS AT FREDDY'S,"BREED-WRISLEY, KIRA",https://cuspide.com/producto/los-ojos-plata-five-nights-at-freddys/,1279900.0
#20,LO MEJOR Y LO PEOR DE INTERNET,,https://cuspide.com/producto/lo-mejor-y-lo-peor-de-internet/,999900.0
#21,NUESTRA PARTE DE NOCHE,"ENRIQUEZ, MARIANA",https://cuspide.com/producto/nuestra-parte-de-noche/,1860000.0
#22,MIS DIAS EN LA LIBRERIA MORISAKI,"YAGISAWA, SATOSHI",https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,739000.0
#23,LOS OJOS DE PLATA - LA NOVELA GRAFICA,"CAWTHON, SCOTT",https://cuspide.com/producto/los-ojos-de-plata-la-novela-grafica/,1299900.0
#24,TIEMPO DE RENACER,"PEREZ, CRISTINA",https://cuspide.com/producto/tiempo-de-renacer/,1259900.0
#25,DIBU MARTINEZ : PASION POR EL FUTBOL,"MARTINEZ, EMILIANO",https://cuspide.com/producto/dibu-martinez-pasion-por-el-futbol/,669900.0
#26,PSICODROMO,"ANDAHAZI, FEDERICO",https://cuspide.com/producto/psicodromo/,749900.0
#27,HOLLY,"KING, STEPHEN",https://cuspide.com/producto/holly/,1899900.0
#28,ESTA ENTRE NOSOTROS,"SEMAN, PABLO",https://cuspide.com/producto/esta-entre-nosotros/,1090000.0
#29,MESSIRVE,"DE ANDRES, VERONICA",https://cuspide.com/producto/messirve/,699900.0
#30,MALDITA ROMA (SERIE JULIO CESAR 2),"POSTEGUILLO, SANTIAGO",https://cuspide.com/producto/maldita-roma-serie-julio-cesar-2/,1999900.0
